,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
121,Humberto de Campos,-2.5983,-43.4611,76.71,83,21,9.08,BR,1659583297
122,Mount Gambier,-37.8333,140.7667,60.71,59,26,19.57,AU,1659583155
123,Novyye Atagi,43.1353,45.7731,70.54,72,0,3.11,RU,1659583297
124,Narodychi,51.2029,29.0823,60.1,96,26,6.44,UA,1659583298
125,Derzhavīnsk,51.1,66.3167,67.6,48,38,17.72,KZ,1659583298
126,Puerto Ayora,-0.7393,-90.3518,70.56,81,97,8.01,EC,1659583298
127,Lavrentiya,65.5833,-171.0,49.73,79,61,7.09,RU,1659583299
128,Caravelas,-17.7125,-39.2481,68.27,76,63,5.19,BR,1659583299
129,Khuzhir,53.1939,107.3397,60.28,74,87,1.19,RU,1659583299
130,Qaanaaq,77.484,-69.3632,41.07,66,8,5.41,GL,1659583300
131,Hong Kong,22.2855,114.1577,80.33,92,100,5.99,HK,1659583109
132,Acajutla,13.5928,-89.8275,79.14,80,94,5.68,SV,1659583300
133,Sydney,-33.8679,151.2073,70.61,68,75,18.41,AU,1659583047
134,Bacolod City,10.6667,122.95,83.32,78,100,5.48,PH,1659583301
135,Kavieng,-2.5744,150.7967,83.97,73,100,15.52,PG,1659583301
136,Chortomlyk,47.6232,34.142,66.24,84,6,7.05,UA,1659583301
137,Kropotkin,45.4375,40.5756,71.58,73,58,6.15,RU,1659583302
138,Salé,34.0389,-6.8166,72.28,78,75,4.61,MA,1659583106
139,Fayaoué,-20.65,166.5333,76.17,81,4,12.1,NC,1659583302
140,Awjilah,29.1081,21.2869,77.79,48,0,8.05,LY,1659583302
141,New Norfolk,-42.7826,147.0587,63.91,68,4,4.0,AU,1659583303
142,Liwonde,-15.0506,35.2035,60.39,84,3,1.34,MW,1659583303
143,Tuy Hoa,13.0833,109.3,82.53,74,100,12.12,VN,1659583304
144,Conde,-7.2597,-34.9075,72.86,100,20,3.44,BR,1659583304
145,Isangel,-19.55,169.2667,86.11,70,75,3.44,VU,1659583291
146,Tasiilaq,65.6145,-37.6368,39.51,71,100,2.08,GL,1659583304
147,Comodoro Rivadavia,-45.8667,-67.5,48.06,49,0,2.3,AR,1659583242
148,Banjarmasin,-3.3244,114.591,86.14,62,93,4.27,ID,1659583305
149,Tuktoyaktuk,69.4541,-133.0374,53.6,76,20,5.75,CA,1659583305
150,Chimbote,-9.0853,-78.5783,61.16,90,34,9.93,PE,1659583306
151,Nivala,63.9167,24.9667,61.68,97,99,10.38,FI,1659583306
152,Emerald,-23.5333,148.1667,74.34,56,0,13.09,AU,1659583105
153,Yellowknife,62.456,-114.3525,63.12,39,20,10.36,CA,1659583306
154,Barra do Garças,-15.89,-52.2567,72.32,38,0,0.96,BR,1659583307
155,Bredasdorp,-34.5322,20.0403,45.73,91,45,7.18,ZA,1659583307
156,Bāntva,21.4864,70.0689,83.66,69,100,4.07,IN,1659583307
157,Harper,4.375,-7.7169,74.14,83,100,9.26,LR,1659583308
158,Clyde River,70.4692,-68.5914,39.43,93,100,11.5,CA,1659583219
159,Kaeo,-35.1,173.7833,64.33,83,33,7.76,NZ,1659583308
160,Korla,41.7597,86.1469,89.1,22,7,2.26,CN,1659583309
161,Arroio do Meio,-29.4011,-51.945,72.88,95,97,1.77,BR,1659583309
162,Ust'-Omchug,61.15,149.6333,62.51,71,100,5.28,RU,1659583309
163,Ystad,55.4297,13.8204,59.74,80,5,0.89,SE,1659583310
164,Port Alfred,-33.5906,26.891,57.18,91,31,1.01,ZA,1659583310
165,Grand Island,40.925,-98.342,79.23,73,0,6.91,US,1659583310
166,Matara,5.9485,80.5353,77.67,80,100,17.65,LK,1659583311
167,Hithadhoo,-0.6,73.0833,81.7,68,100,13.49,MV,1659583311
168,Hervey Bay,-25.2986,152.8535,68.0,76,0,9.46,AU,1659583311
169,Saldanha,-33.0117,17.9442,48.25,68,97,8.01,ZA,1659583312
170,Ploemeur,47.7333,-3.4333,66.81,91,0,4.61,FR,1659583312
171,Pisco,-13.7,-76.2167,58.01,88,75,3.44,PE,1659583312
172,Altamira,-3.2033,-52.2064,71.53,68,17,1.83,BR,1659583313
173,Yar-Sale,66.8333,70.8333,67.64,50,21,10.85,RU,1659583313
174,Kaitangata,-46.2817,169.8464,55.11,63,41,3.8,NZ,1659583314
175,Cayenne,4.9333,-52.3333,82.09,1,75,0.0,GF,1659583314
176,Margate,51.3813,1.3862,64.9,92,3,1.01,GB,1659583314
177,Los Llanos de Aridane,28.6585,-17.9182,67.75,78,20,14.97,ES,1659583222
178,Kattivākkam,13.2167,80.3167,84.29,86,100,4.94,IN,1659583315
179,Waipawa,-41.4122,175.5153,56.1,64,64,12.48,NZ,1659583315
180,Lorengau,-2.0226,147.2712,83.52,74,100,12.37,PG,1659583316
181,Plavsk,53.7094,37.2919,63.19,73,96,7.2,RU,1659583316
182,Luancheng,37.8792,114.6517,91.56,44,2,5.21,CN,1659583316
183,El Alto,-4.2714,-81.2147,62.11,87,97,13.42,PE,1659583317
184,Hualmay,-11.0964,-77.6139,60.82,85,42,13.18,PE,1659583317
185,Saint-François,46.4154,3.9054,63.84,82,0,2.3,FR,1659583059
186,Totness,5.8833,-56.3167,77.68,88,99,10.07,SR,1659583317
187,Tuatapere,-46.1333,167.6833,50.16,79,44,9.66,NZ,1659583318
188,Rosetown,51.5501,-108.0014,67.98,56,79,8.05,CA,1659583318
189,Alofi,-19.0595,-169.9187,78.69,65,75,19.57,NU,1659583319
190,Puerto Escondido,15.85,-97.0667,83.23,65,75,5.75,MX,1659583319
191,Winton,37.3894,-120.6133,93.22,34,0,9.22,US,1659583319
192,Carutapera,-1.195,-46.02,75.45,89,11,6.24,BR,1659583320
193,Sitka,57.0531,-135.33,60.69,77,75,12.66,US,1659583320
194,Ormara,25.2088,64.6357,81.75,86,94,5.53,PK,1659583320
195,Loreto,22.2667,-101.9667,65.1,67,99,6.4,MX,1659583321
196,Yerofey Pavlovich,53.9667,121.9667,64.0,97,100,5.93,RU,1659583321
197,Qingquan,30.4511,115.2559,93.54,57,3,10.87,CN,1659583321
198,Malatya Province,38.5,38.0,62.65,52,0,4.61,TR,1659583322
199,Ruteng,-8.6136,120.4721,74.73,52,93,2.08,ID,1659583322
200,São João da Barra,-21.6403,-41.0511,67.73,86,0,1.34,BR,1659583323
201,Havre-St-Pierre,50.2334,-63.5986,53.6,93,0,0.0,CA,1659583323
202,Durusu,41.3053,28.6767,76.84,81,0,14.0,TR,1659583324
203,Bataysk,47.1398,39.7518,70.88,75,8,2.39,RU,1659583324
204,Barreirinhas,-2.7469,-42.8264,75.33,90,62,8.99,BR,1659583325
205,San Fernando del Valle de Catamarca,-28.4696,-65.7852,54.77,69,39,1.99,AR,1659583246
206,Opelousas,30.5335,-92.0815,75.85,100,0,5.75,US,1659583325
207,Okha,53.5739,142.9478,61.65,86,98,12.37,RU,1659583069
208,Chui,-33.6971,-53.4616,56.57,99,100,8.3,UY,1659583326
209,Cherskiy,68.75,161.3,43.93,85,100,10.49,RU,1659583326
210,Kapoeta,4.7717,33.5903,74.8,61,40,4.25,SS,1659583327
211,Olafsvik,64.8945,-23.7142,46.11,75,24,9.44,IS,1659583327
212,Preobrazheniye,42.9019,133.9064,75.61,87,79,3.83,RU,1659583327
213,Gamba,-2.65,10.0,70.39,83,97,7.05,GA,1659583328
214,Dali,25.7,100.1833,69.87,80,95,3.29,CN,1659583328
215,Worland,44.0169,-107.9554,83.55,27,0,6.91,US,1659583327
216,Maragheh,37.3917,46.2398,71.87,33,0,13.8,IR,1659583329
217,Suzaka,36.65,138.3167,84.79,84,94,1.01,JP,1659583329
218,Karratha,-20.7377,116.8463,72.41,39,1,11.99,AU,1659583330
219,Shubarshi,48.5872,57.1869,72.3,52,45,11.72,KZ,1659583330
220,Gherla,47.0333,23.9167,57.9,68,0,2.71,RO,1659583331
221,Mount Isa,-20.7333,139.5,89.37,29,40,17.27,AU,1659583331
222,Loa Janan,-0.583,117.095,77.7,94,97,2.89,ID,1659583331
223,College,64.8569,-147.8028,74.07,41,75,6.91,US,1659583332
224,Yulara,-25.2406,130.9889,70.34,30,0,19.26,AU,1659583332
225,Fortuna,40.5982,-124.1573,64.09,82,0,11.5,US,1659583333
226,Ribeira Grande,38.5167,-28.7,75.25,88,26,4.52,PT,1659583333
227,Ayan,56.45,138.1667,56.98,94,100,12.68,RU,1659583333
228,Andros Town,24.7,-77.7667,82.36,70,3,11.83,BS,1659583334
229,Călmăţuiu,43.9667,24.8667,68.68,50,47,8.19,RO,1659583334
230,Ahipara,-35.1667,173.1667,61.99,77,21,3.96,NZ,1659583070
231,Roseburg,43.2165,-123.3417,75.31,50,0,9.22,US,1659583335
232,Kendari,-3.945,122.4989,84.92,58,21,3.69,ID,1659583335
233,Henties Bay,-22.116,14.2845,53.33,95,99,5.55,NA,1659583336
234,Bachaquero,9.9694,-71.1494,78.1,86,100,4.27,VE,1659583336
235,Reconquista,-29.15,-59.65,61.95,98,99,6.4,AR,1659583212
236,Zhigansk,66.7697,123.3711,56.8,44,99,22.68,RU,1659583337
237,Sambava,-14.2667,50.1667,65.93,83,4,9.24,MG,1659583337
238,Mackay,-21.15,149.2,80.69,77,99,3.51,AU,1659583191
239,Province of Mantua,45.1667,10.7833,78.04,81,2,4.76,IT,1659583338
240,Ostrovnoy,68.0531,39.5131,54.66,82,100,16.37,RU,1659583338
241,Bambous Virieux,-20.3428,57.7575,68.25,73,40,6.91,MU,1659583339
242,São Filipe,14.8961,-24.4956,76.84,86,88,2.28,CV,1659583339
243,Portland,45.5234,-122.6762,76.6,60,20,9.22,US,1659583140
244,Yangi Marg`ilon,40.4272,71.7189,81.39,33,11,4.16,UZ,1659583340
245,Sémbé,1.6481,14.5806,68.52,90,59,1.5,CG,1659583340
246,Bull Savanna,17.8868,-77.5902,76.51,85,98,8.75,JM,1659583341
247,Dingle,10.9995,122.6711,83.75,77,100,3.4,PH,1659583341
248,Amarante do Maranhão,-5.5667,-46.7422,75.15,56,39,2.55,BR,1659583341
249,Orlik,52.5178,99.825,62.91,64,84,1.66,RU,1659583342
250,Riyadh,24.6877,46.7219,89.74,32,10,4.59,SA,1659583336
251,Constitución,-35.3333,-72.4167,46.29,88,1,5.97,CL,1659583343
252,Amga,60.8953,131.9608,78.3,60,80,4.63,RU,1659583343
253,Vostok,46.4856,135.8833,80.02,51,99,4.99,RU,1659583343
254,Trairi,-3.2778,-39.2689,75.0,86,20,7.43,BR,1659583117
255,Yangambi,0.8102,24.4336,70.07,92,35,1.34,CD,1659583344
256,Bereda,43.2686,-7.5406,65.41,100,100,5.44,ES,1659583344
257,Lüderitz,-26.6481,15.1594,52.7,93,0,9.86,NA,1659583345
258,San Luis,-33.295,-66.3356,51.24,67,97,8.08,AR,1659583300
259,Pimentel,-6.8367,-79.9342,62.33,87,49,13.94,PE,1659583345
260,Tromsø,69.6496,18.957,57.38,77,75,2.3,NO,1659583345
261,Rocha,-34.4833,-54.3333,51.62,98,100,8.08,UY,1659583346
262,Chapais,49.7834,-74.8492,62.38,93,99,9.22,CA,1659583346
263,Bahía Blanca,-38.7196,-62.2724,44.31,72,0,4.94,AR,1659583054
264,Tezu,27.9167,96.1667,81.59,88,100,0.72,IN,1659583154
265,Port Elizabeth,-33.918,25.5701,57.49,88,0,13.8,ZA,1659583347
266,Babu,24.4167,111.5167,86.88,75,17,1.72,CN,1659583347
267,Naze,28.3667,129.4833,85.12,76,79,6.67,JP,1659583347
268,Zolotkovo,55.5281,41.1053,63.68,79,100,3.85,RU,1659583348
269,Hastings,50.8552,0.5729,65.95,87,4,7.87,GB,1659583348
270,Botoroaga,44.1483,25.5447,67.08,59,23,6.76,RO,1659583349
271,Prado,-17.3411,-39.2208,69.26,73,67,5.93,BR,1659583349
272,Sabang,5.8933,95.3214,82.29,60,100,2.89,ID,1659583349
273,Mujiayingzi,42.1167,118.7833,89.83,46,81,12.08,CN,1659583350
274,Rawson,-43.3002,-65.1023,45.23,51,50,11.03,AR,1659583181
275,Doha,25.2867,51.5333,96.78,55,73,6.91,QA,1659583326
276,Broome,42.2506,-75.833,73.67,76,18,4.56,US,1659583350
277,Mumford,5.2618,-0.759,71.42,86,62,8.95,GH,1659583351
278,Pitimbu,-7.4706,-34.8086,73.99,85,62,8.97,BR,1659583351
279,Fort Nelson,58.8053,-122.7002,56.79,100,75,3.44,CA,1659583351
280,Imbituba,-28.24,-48.6703,67.08,89,10,13.0,BR,1659583352
281,Lebu,-37.6167,-73.65,48.22,89,90,10.16,CL,1659583352
282,Ambilobe,-13.2,49.05,59.79,88,0,4.63,MG,1659583353
283,Goderich,43.7501,-81.7165,70.92,94,100,11.5,CA,1659583353
284,Nanortalik,60.1432,-45.2371,48.36,96,100,21.81,GL,1659583353
285,Westerland,54.9079,8.3033,64.42,100,100,8.05,DE,1659583354
286,San Juan del Sur,11.2529,-85.8705,77.95,75,100,20.69,NI,1659583354
287,Pacific Grove,36.6177,-121.9166,70.21,87,40,9.22,US,1659583355
288,Gopālpur,19.2667,84.9167,77.54,89,100,6.29,IN,1659583355
289,Omboué,-1.5746,9.2618,71.47,86,96,8.32,GA,1659583214
290,Yanam,16.7333,82.2167,83.43,78,100,3.65,IN,1659583356
291,Charagua,-19.8,-63.2167,66.4,83,2,2.01,BO,1659583356
292,Tura,25.5198,90.2201,77.29,89,100,0.98,IN,1659583268
293,Iskateley,67.6803,53.1512,57.38,79,84,16.02,RU,1659583356
294,Mae Sai,20.4335,99.8762,82.13,79,75,2.19,TH,1659583357
295,Catherinas Lust,6.4,-57.6,77.94,86,62,7.52,GY,1659583357
296,Węgorzewo,54.2157,21.7372,59.22,85,89,7.7,PL,1659583358
297,Palu,-0.8917,119.8707,87.1,69,65,2.48,ID,1659583358
298,Fuzhou,26.0614,119.3061,93.09,51,3,2.08,CN,1659583358
299,Vangaindrano,-23.35,47.6,65.43,87,92,3.67,MG,1659583359
300,Sembakung,3.8167,117.25,90.5,56,41,1.63,ID,1659583359
301,Aubenas,44.6201,4.3899,70.45,63,6,2.77,FR,1659583359
302,Borba,-4.3878,-59.5939,77.5,75,81,2.86,BR,1659583360
303,Seoul,37.5683,126.9778,90.79,70,40,8.05,KR,1659583200
304,Belmonte,-15.8631,-38.8828,69.13,75,1,4.56,BR,1659583360
305,Bubaque,11.2833,-15.8333,78.3,84,100,7.81,GW,1659583360
306,Sangar,63.9242,127.4739,70.11,68,50,3.22,RU,1659583301
307,Katsuura,35.1333,140.3,80.92,79,100,14.47,JP,1659583361
308,Husavik,66.0449,-17.3389,42.42,93,100,17.94,IS,1659583361
309,Basoko,1.2391,23.616,72.86,86,89,1.97,CD,1659583362
310,Fairbanks,64.8378,-147.7164,74.08,42,0,6.91,US,1659583203
311,Kruisfontein,-34.0033,24.7314,55.98,91,94,7.11,ZA,1659583362
312,Homer,59.6425,-151.5483,67.05,74,0,9.22,US,1659583362
313,Maceió,-9.6658,-35.7353,74.64,88,75,1.14,BR,1659583363
314,Sur,22.5667,59.5289,86.97,65,28,2.35,OM,1659583363
315,Livingston,55.9029,-3.5226,55.47,87,0,3.44,GB,1659583363
316,Vestmanna,62.1564,-7.1664,45.52,93,75,8.05,FO,1659583364
317,Isfahan,32.6572,51.6776,65.84,19,49,5.37,IR,1659583364
318,Caborca,30.5838,-111.101,75.2,68,97,16.28,MX,1659583364
319,Shingū,33.7333,135.9833,94.14,49,44,3.33,JP,1659583365
320,Semey,50.4111,80.2275,70.02,43,0,11.18,KZ,1659583225
321,Kodino,63.7198,39.6447,56.44,79,76,4.47,RU,1659583365
322,Mitsamiouli,-11.3847,43.2844,68.29,83,20,2.3,KM,1659583366
323,Casa Nova,-9.4167,-41.1333,75.97,59,74,19.35,BR,1659583366
324,Chumikan,54.7183,135.315,55.62,95,100,2.62,RU,1659583366
325,Crawfordsville,40.0411,-86.8745,72.3,77,75,4.61,US,1659583367
326,Iranshahr,27.2025,60.6848,91.74,25,0,4.61,IR,1659583367
327,Camacha,33.0833,-16.3333,67.42,78,75,13.8,PT,1659583367
328,Nyurba,63.2842,118.3319,60.08,61,100,10.22,RU,1659583368
329,Haines Junction,60.7522,-137.5108,64.35,55,57,6.91,CA,1659583368
330,Savannah Bight,16.45,-85.85,82.29,79,82,13.67,HN,1659583368
331,Russell,32.3502,-85.1999,80.2,100,0,0.0,US,1659583369
332,Saravan,39.7196,45.6483,66.43,65,2,4.41,AM,1659583369
333,Vetlanda,57.4289,15.0776,59.52,98,16,4.63,SE,1659583370
334,Warwick,41.7001,-71.4162,75.4,80,0,9.22,US,1659583320
335,Port Hardy,50.6996,-127.4199,57.38,88,75,2.3,CA,1659583370
336,Guerrero Negro,27.9769,-114.0611,71.06,83,4,16.96,MX,1659583244
337,Khorinsk,52.1657,109.7726,75.58,42,89,9.1,RU,1659583371
338,Popondetta,-8.7537,148.2534,92.5,42,7,6.8,PG,1659583371
339,Camacupa,-12.0167,17.4833,60.96,72,8,1.45,AO,1659583371
340,Monte Patria,-30.6919,-70.9467,51.89,74,1,0.98,CL,1659583372
341,Hambantota,6.1241,81.1185,77.83,76,100,24.72,LK,1659583308
342,Qasigiannguit,68.8193,-51.1922,55.65,79,100,3.49,GL,1659583372
343,Gurupi,-11.7292,-49.0686,76.46,30,0,4.29,BR,1659583372
344,Saint George,37.1041,-113.5841,97.39,24,0,0.0,US,1659583373
345,Geraldton,-28.7667,114.6,63.01,67,40,14.97,AU,1659583161
346,Aswān,24.0934,32.907,86.47,22,0,8.81,EG,1659583373
347,Hamilton,39.1834,-84.5333,82.24,82,0,6.91,US,1659583131
348,Antsirabe,-19.85,47.0333,47.59,92,36,3.22,MG,1659583374
349,Ziarat,30.3823,67.7282,67.51,45,13,1.66,PK,1659583374
350,Kitimat,54.0524,-128.6534,57.58,21,100,2.33,CA,1659583374
351,Alanya,36.5438,31.9998,78.93,72,0,3.04,TR,1659583375
352,Kishtwār,33.3167,75.7667,73.18,76,10,2.15,IN,1659583375
353,Belyy Yar,53.6039,91.3903,64.85,63,0,2.24,RU,1659583375
354,Vanino,49.0869,140.2543,62.89,98,100,3.44,RU,1659583376
355,Tarko-Sale,64.9225,77.785,69.39,46,75,3.91,RU,1659583376
356,Ambon City,-3.6954,128.1814,78.94,89,75,12.66,ID,1659583376
357,San Quintín,30.4833,-115.95,70.27,84,72,12.66,MX,1659583377
